record_id	publication_year
5001	2049
5002	2050
5003	2049
5004	2049
5005	2050
5006	2049
5007	2049
5008	2049
5009	2050
5010	2049
5011	2050
5012	2049
5013	2049
5014	2048
5015	2049
5016	2050
5017	2050
5018	2049
5019	2049
5020	2049
5021	2049
5022	2048
5023	2049
5024	2049
5025	2050
5026	2049
5027	2049
5028	2049
5029	2050
5030	2049
5031	2050
5032	2048
5033	2050
5034	2050
5035	2049
5036	2049
5037	2049
5038	2049
5039	2049
5040	2049
5041	2049
5042	2049
5043	2049
5044	2049
5045	2048
5046	2049
5047	2049
5048	2049
5049	2049
5050	2049
5051	2049
5052	2049
5053	2050
5054	2050
5055	2050
5056	2049
5057	2049
5058	2050
5059	2049
5060	2049
5061	2048
5062	2049
5063	2050
5064	2048
5065	2050
5066	2049
5067	2049
5068	2049
5069	2048
5070	2049
5071	2049
5072	2049
5073	2049
5074	2049
5075	2049
5076	2049
5077	2049
5078	2049
5079	2049
5080	2050
5081	2049
5082	2049
5083	2048
5084	2049
5085	2049
5086	2050
5087	2050
5088	2049
5089	2049
5090	2049
5091	2049
5092	2049
5093	2049
5094	2049
5095	2049
5096	2050
5097	2050
5098	2049
5099	2049
5100	2048
5101	2049
5102	2049
5103	2049
5104	2049
5105	2049
5106	2050
5107	2049
5108	2049
5109	2049
5110	2048
5111	2049
5112	2049
5113	2050
5114	2049
5115	2049
5116	2049
5117	2049
5118	2049
5119	2050
5120	2051
5121	2049
5122	2049
5123	2049
5124	2049
5125	2049
5126	2048
5127	2049
5128	2049
5129	2049
5130	2050
5131	2049
5132	2050
5133	2049
5134	2050
5135	2049
5136	2049
5137	2049
5138	2049
5139	2049
5140	2049
5141	2049
5142	2050
5143	2049
5144	2049
5145	2049
5146	2049
5147	2050
5148	2049
5149	2049
5150	2049
5151	2050
5152	2049
5153	2049
5154	2050
5155	2049
5156	2049
5157	2049
5158	2049
5159	2049
5160	2048
5161	2050
5162	2050
5163	2049
5164	2049
5165	2049
5166	2049
5167	2049
5168	2049
5169	2049
5170	2049
5171	2049
5172	2050
5173	2049
5174	2048
5175	2049
5176	2048
5177	2049
5178	2049
5179	2050
5180	2048
5181	2049
5182	2049
5183	2049
5184	2049
5185	2049
5186	2048
5187	2049
5188	2049
5189	2050
5190	2049
5191	2049
5192	2049
5193	2049
5194	2050
5195	2049
5196	2048
5197	2049
5198	2049
5199	2049
5200	2049
5201	2049
5202	2049
5203	2050
5204	2049
5205	2048
5206	2049
5207	2048
5208	2049
5209	2049
5210	2049
5211	2049
5212	2049
5213	2049
5214	2049
5215	2050
5216	2049
